Time,CoPx,CoPy
0.566,0.00295,0.090467
0.567,0.00295,0.090424
0.568,0.002902,0.090424
0.569,0.002926,0.090412
0.57,0.002975,0.09043
0.571,0.00295,0.090442
0.572,0.002902,0.090424
0.573,0.00295,0.090442
0.574,0.002975,0.09043
0.575,0.00295,0.090442
0.576,0.002927,0.090473
0.577,0.00295,0.090442
0.578,0.00295,0.090442
0.579,0.002926,0.090412
0.58,0.002974,0.090454
0.581,0.00295,0.090442
0.582,0.002926,0.090412
0.583,0.00295,0.090442
0.584,0.002949,0.090405
0.585,0.002974,0.090412
0.586,0.00295,0.090442
0.587,0.002949,0.090424
0.588,0.002902,0.090424
0.589,0.002973,0.090393
0.59,0.002926,0.090412
0.591,0.002926,0.090412
0.592,0.002925,0.090393
0.593,0.00295,0.090424
0.594,0.00295,0.090424
0.595,0.00295,0.090424
0.596,0.002973,0.090393
0.597,0.002949,0.090362
0.598,0.002902,0.090381
0.599,0.002877,0.090393
0.6,0.002901,0.090405
0.601,0.002925,0.090375
0.602,0.002925,0.090375
0.603,0.002925,0.090375
0.604,0.002948,0.090344
0.605,0.002925,0.090375
0.606,0.002924,0.090356
0.607,0.0029,0.090387
0.608,0.002924,0.090399
0.609,0.002948,0.090387
0.61,0.002972,0.090356
0.611,0.002948,0.090326
0.612,0.002923,0.090338
0.613,0.002899,0.09035
0.614,0.002923,0.090362
0.615,0.002971,0.090405
0.616,0.002947,0.090393
0.617,0.002946,0.090375
0.618,0.002923,0.090362
0.619,0.002946,0.090356
0.62,0.002946,0.090356
0.621,0.002946,0.090356
0.622,0.002946,0.090356
0.623,0.002945,0.090381
0.624,0.002945,0.090381
0.625,0.002921,0.09035
0.626,0.002945,0.090381
0.627,0.002945,0.090381
0.628,0.002968,0.090393
0.629,0.002944,0.090362
0.63,0.00292,0.090375
0.631,0.00292,0.090375
0.632,0.002944,0.090387
0.633,0.002968,0.090418
0.634,0.003015,0.090399
0.635,0.002967,0.090442
0.636,0.002967,0.090442
0.637,0.002919,0.090399
0.638,0.002919,0.090381
0.639,0.002943,0.090411
0.64,0.002966,0.090381
0.641,0.002966,0.090381
0.642,0.002966,0.090381
0.643,0.00299,0.090393
0.644,0.002966,0.090381
0.645,0.002942,0.090393
0.646,0.002942,0.090393
0.647,0.002942,0.090375
0.648,0.002966,0.090405
0.649,0.002942,0.090375
0.65,0.002966,0.090405
0.651,0.002942,0.090393
0.652,0.002942,0.090375
0.653,0.002966,0.090405
0.654,0.002942,0.090375
0.655,0.002942,0.090375
0.656,0.002989,0.090375
0.657,0.002941,0.090356
0.658,0.002917,0.090387
0.659,0.002965,0.090387
0.66,0.002942,0.090375
0.661,0.002917,0.090344
0.662,0.002942,0.090375
0.663,0.002942,0.090375
0.664,0.002942,0.090375
0.665,0.002917,0.090387
0.666,0.002942,0.090375
0.667,0.002942,0.090375
0.668,0.002917,0.090387
0.669,0.002941,0.090356
0.67,0.002893,0.090356
0.671,0.002893,0.090356
0.672,0.002893,0.090356
0.673,0.002965,0.090387
0.674,0.002917,0.090387
0.675,0.002942,0.090375
0.676,0.002942,0.090375
0.677,0.002917,0.090344
0.678,0.002893,0.090356
0.679,0.002893,0.090375
0.68,0.002917,0.090344
0.681,0.002917,0.090387
0.682,0.002869,0.090344
0.683,0.002894,0.090332
0.684,0.002942,0.090375
0.685,0.002941,0.090356
0.686,0.002965,0.090344
0.687,0.002917,0.090344
0.688,0.002894,0.090332
0.689,0.002869,0.090344
0.69,0.002894,0.090332
0.691,0.002894,0.090332
0.692,0.002917,0.090344
0.693,0.002966,0.090362
0.694,0.002942,0.09035
0.695,0.002918,0.090362
0.696,0.002893,0.090375
0.697,0.002894,0.090332
0.698,0.002895,0.09035
0.699,0.002918,0.09032
0.7,0.002918,0.09032
0.701,0.002894,0.090307
0.702,0.00287,0.09032
0.703,0.00287,0.090277
0.704,0.002894,0.090307
0.705,0.002918,0.09032
0.706,0.002894,0.090307
0.707,0.002894,0.090307
0.708,0.00287,0.090277
0.709,0.002894,0.090307
0.71,0.002871,0.090338
0.711,0.002894,0.090307
0.712,0.00287,0.090277
0.713,0.00287,0.090277
0.714,0.002894,0.090307
0.715,0.002847,0.090264
0.716,0.002871,0.090252
0.717,0.002847,0.090283
0.718,0.002919,0.090313
0.719,0.002872,0.090313
0.72,0.002872,0.090313
0.721,0.002872,0.090332
0.722,0.002897,0.09032
0.723,0.002896,0.090344
0.724,0.002872,0.090332
0.725,0.002921,0.09035
0.726,0.002897,0.090338
0.727,0.002897,0.090338
0.728,0.002873,0.090369
0.729,0.002897,0.090338
0.73,0.002897,0.090381
0.731,0.002922,0.090387
0.732,0.002946,0.090356
0.733,0.002898,0.090375
0.734,0.002899,0.090393
0.735,0.002923,0.090405
0.736,0.002899,0.090393
0.737,0.002923,0.090424
0.738,0.002923,0.090424
0.739,0.002923,0.090381
0.74,0.002899,0.090393
0.741,0.002923,0.090424
0.742,0.002924,0.090399
0.743,0.002877,0.090418
0.744,0.002925,0.090461
0.745,0.002877,0.09046
0.746,0.002925,0.090461
0.747,0.002949,0.090448
0.748,0.002925,0.090461
0.749,0.002901,0.090491
0.75,0.002878,0.090497
0.751,0.002902,0.090467
0.752,0.002926,0.090497
0.753,0.002926,0.090497
0.754,0.00295,0.090485
0.755,0.002902,0.090528
0.756,0.002902,0.090528
0.757,0.002902,0.090528
0.758,0.002902,0.090528
0.759,0.002926,0.090559
0.76,0.002879,0.090516
0.761,0.002951,0.090546
0.762,0.002951,0.090546
0.763,0.002951,0.090546
0.764,0.002926,0.090559
0.765,0.002902,0.090528
0.766,0.002902,0.090528
0.767,0.002902,0.090528
0.768,0.002927,0.090602
0.769,0.002854,0.090571
0.77,0.002854,0.090571
0.771,0.002926,0.09054
0.772,0.002878,0.09054
0.773,0.002926,0.090583
0.774,0.002878,0.090583
0.775,0.002926,0.090583
0.776,0.002902,0.090553
0.777,0.002877,0.090522
0.778,0.002878,0.090583
0.779,0.002878,0.090583
0.78,0.002901,0.090638
0.781,0.002877,0.090608
0.782,0.002877,0.090608
0.783,0.002877,0.09065
0.784,0.002901,0.09062
0.785,0.002901,0.09062
0.786,0.002876,0.090632
0.787,0.002876,0.090632
0.788,0.002901,0.09062
0.789,0.0029,0.090644
0.79,0.0029,0.090644
0.791,0.002876,0.090657
0.792,0.002852,0.090687
0.793,0.002876,0.090657
0.794,0.002924,0.0907
0.795,0.002899,0.090712
0.796,0.002851,0.090712
0.797,0.002924,0.0907
0.798,0.002876,0.090699
0.799,0.002899,0.090693
0.8,0.002875,0.090681
0.801,0.002946,0.090736
0.802,0.002923,0.090724
0.803,0.002899,0.090693
0.804,0.002899,0.090693
0.805,0.002946,0.090736
0.806,0.002922,0.090749
0.807,0.002923,0.090767
0.808,0.002923,0.09081
0.809,0.002947,0.090798
0.81,0.002898,0.090761
0.811,0.002899,0.090779
0.812,0.002898,0.090779
0.813,0.002922,0.090791
0.814,0.002898,0.090779
0.815,0.002923,0.09081
0.816,0.002874,0.090791
0.817,0.002898,0.090822
0.818,0.002922,0.090834
0.819,0.002898,0.090865
0.82,0.002874,0.090834
0.821,0.002898,0.090804
0.822,0.002922,0.090834
0.823,0.002897,0.090847
0.824,0.002897,0.090847
0.825,0.002897,0.090889
0.826,0.00297,0.090896
0.827,0.002922,0.090877
0.828,0.002897,0.090889
0.829,0.002897,0.090889
0.83,0.002946,0.090908
0.831,0.002945,0.090846
0.832,0.002897,0.090889
0.833,0.002922,0.09092
0.834,0.002922,0.09092
0.835,0.002873,0.090902
0.836,0.002897,0.090914
0.837,0.002897,0.090914
0.838,0.00292,0.090926
0.839,0.00292,0.090926
0.84,0.002897,0.090914
0.841,0.002872,0.090926
0.842,0.002872,0.090969
0.843,0.002873,0.09103
0.844,0.002873,0.09103
0.845,0.002849,0.090999
0.846,0.002872,0.090969
0.847,0.00292,0.091012
0.848,0.002872,0.091055
0.849,0.002872,0.091012
0.85,0.002847,0.091005
0.851,0.002919,0.091036
0.852,0.002848,0.091067
0.853,0.002848,0.09111
0.854,0.002871,0.091079
0.855,0.002872,0.09114
0.856,0.002872,0.09114
0.857,0.002895,0.091091
0.858,0.002895,0.091091
0.859,0.002848,0.091153
0.86,0.002871,0.091165
0.861,0.002871,0.091103
0.862,0.002871,0.091146
0.863,0.002871,0.091189
0.864,0.002895,0.091177
0.865,0.002871,0.091207
0.866,0.002871,0.091232
0.867,0.002871,0.091232
0.868,0.002871,0.091232
0.869,0.002894,0.091201
0.87,0.00287,0.091256
0.871,0.002846,0.091244
0.872,0.002918,0.091275
0.873,0.002894,0.091287
0.874,0.002846,0.091287
0.875,0.002869,0.09128
0.876,0.002845,0.091354
0.877,0.002893,0.091311
0.878,0.00287,0.091342
0.879,0.00287,0.091342
0.88,0.002893,0.091311
0.881,0.002869,0.091323
0.882,0.002869,0.091366
0.883,0.002869,0.091366
0.884,0.00287,0.091385
0.885,0.002869,0.091366
0.886,0.002869,0.091366
0.887,0.002845,0.091397
0.888,0.002869,0.091366
0.889,0.002845,0.09144
0.89,0.002821,0.091409
0.891,0.002821,0.091409
0.892,0.002869,0.091409
0.893,0.002821,0.091452
0.894,0.002845,0.091483
0.895,0.002821,0.091495
0.896,0.002797,0.091464
0.897,0.002797,0.091464
0.898,0.002845,0.091483
0.899,0.002821,0.09147
0.9,0.002821,0.09147
0.901,0.002797,0.091483
0.902,0.002845,0.091483
0.903,0.002821,0.091513
0.904,0.002821,0.09147
0.905,0.002821,0.09147
0.906,0.002773,0.091513
0.907,0.002846,0.091544
0.908,0.002846,0.091544
0.909,0.002821,0.091513
0.91,0.002798,0.091501
0.911,0.002822,0.091489
0.912,0.002822,0.091489
0.913,0.002823,0.091508
0.914,0.002846,0.09152
0.915,0.002799,0.091538
0.916,0.002823,0.091526
0.917,0.002799,0.091496
0.918,0.002775,0.091551
0.919,0.002799,0.091538
0.92,0.002799,0.091538
0.921,0.002848,0.091557
0.922,0.002823,0.091569
0.923,0.002823,0.091569
0.924,0.002776,0.091588
0.925,0.002824,0.091588
0.926,0.0028,0.0916
0.927,0.002752,0.091557
0.928,0.002776,0.091588
0.929,0.0028,0.091576
0.93,0.0028,0.091618
0.931,0.002824,0.091588
0.932,0.0028,0.091576
0.933,0.002824,0.091606
